Total Nacional;Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total Nacional;;De 90 a 94 años;Total;2019;7,714
Total Nacional;;De 90 a 94 años;Total;2018;4,902
Total Nacional;;De 90 a 94 años;Hombres;2021;5,712
Total Nacional;;De 90 a 94 años;Hombres;2020;7,267
Total Nacional;;De 90 a 94 años;Hombres;2019;15,880
Total Nacional;;De 90 a 94 años;Hombres;2018;8,808
Total Nacional;;De 90 a 94 años;Mujeres;2021;1,588
Total Nacional;;De 90 a 94 años;Mujeres;2020;2,632
Total Nacional;;De 90 a 94 años;Mujeres;2019;4,060
Total Nacional;;De 90 a 94 años;Mujeres;2018;3,179
Total Nacional;;95 y más años;Total;2021;2,289
Total Nacional;;95 y más años;Total;2020;5,499
Total Nacional;;95 y más años;Total;2019;4,072
Total Nacional;;95 y más años;Total;2018;3,499
Total Nacional;;95 y más años;Hombres;2021;3,193
Total Nacional;;95 y más años;Hombres;2020;15,485
Total Nacional;;95 y más años;Hombres;2019;6,503
Total Nacional;;95 y más años;Hombres;2018;7,095
Total Nacional;;95 y más años;Mujeres;2021;2,005
Total Nacional;;95 y más años;Mujeres;2020;2,105
Total Nacional;;95 y más años;Mujeres;2019;3,260
Total Nacional;;95 y más años;Mujeres;2018;2,322
Total Nacional;01 Andalucía;Todas las edades;Total;2021;3,710
Total Nacional;01 Andalucía;Todas las edades;Total;2020;3,407
Total Nacional;01 Andalucía;Todas las edades;Total;2019;3,776
Total Nacional;01 Andalucía;Todas las edades;Total;2018;3,152
Total Nacional;01 Andalucía;Todas las edades;Hombres;2021;6,499
Total Nacional;01 Andalucía;Todas las edades;Hombres;2020;5,639
Total Nacional;01 Andalucía;Todas las edades;Hombres;2019;6,235
Total Nacional;01 Andalucía;Todas las edades;Hombres;2018;5,252
Total Nacional;01 Andalucía;Todas las edades;Mujeres;2021;0,999
Total Nacional;01 Andalucía;Todas las edades;Mujeres;2020;1,233
Total Nacional;01 Andalucía;Todas las edades;Mujeres;2019;1,379
Total Nacional;01 Andalucía;Todas las edades;Mujeres;2018;1,105
Total Nacional;01 Andalucía;Menores de 1 año;Total;2021;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Total;2020;1,526
Total Nacional;01 Andalucía;Menores de 1 año;Total;2019;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Total;2018;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Hombres;2021;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Hombres;2020;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Hombres;2019;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Hombres;2018;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Mujeres;2021;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Mujeres;2020;3,125
Total Nacional;01 Andalucía;Menores de 1 año;Mujeres;2019;0,000
Total Nacional;01 Andalucía;Menores de 1 año;Mujeres;2018;0,000
Total Nacional;01 Andalucía;De 1 a 14 años;Total;2021;0,249
Total Nacional;01 Andalucía;De 1 a 14 años;Total;2020;0,322
Total Nacional;01 Andalucía;De 1 a 14 años;Total;2019;0,079
Total Nacional;01 Andalucía;De 1 a 14 años;Total;2018;0,393
Total Nacional;01 Andalucía;De 1 a 14 años;Hombres;2021;0,161
Total Nacional;01 Andalucía;De 1 a 14 años;Hombres;2020;0,626
Total Nacional;01 Andalucía;De 1 a 14 años;Hombres;2019;0,154
Total Nacional;01 Andalucía;De 1 a 14 años;Hombres;2018;0,306
Total Nacional;01 Andalucía;De 1 a 14 años;Mujeres;2021;0,342
Total Nacional;01 Andalucía;De 1 a 14 años;Mujeres;2020;0,000
Total Nacional;01 Andalucía;De 1 a 14 años;Mujeres;2019;0,000
Total Nacional;01 Andalucía;De 1 a 14 años;Mujeres;2018;0,486
Total Nacional;01 Andalucía;De 15 a 29 años;Total;2021;4,520
Total Nacional;01 Andalucía;De 15 a 29 años;Total;2020;4,598
Total Nacional;01 Andalucía;De 15 a 29 años;Total;2019;4,407
Total Nacional;01 Andalucía;De 15 a 29 años;Total;2018;4,571
Total Nacional;01 Andalucía;De 15 a 29 años;Hombres;2021;7,663
Total Nacional;01 Andalucía;De 15 a 29 años;Hombres;2020;6,974
Total Nacional;01 Andalucía;De 15 a 29 años;Hombres;2019;6,598
Total Nacional;01 Andalucía;De 15 a 29 años;Hombres;2018;7,624
Total Nacional;01 Andalucía;De 15 a 29 años;Mujeres;2021;1,183
