Total Nacional;Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total Nacional;09 Cataluña;De 1 a 14 años;Mujeres;2019;0,187
Total Nacional;09 Cataluña;De 1 a 14 años;Mujeres;2018;0,000
Total Nacional;09 Cataluña;De 15 a 29 años;Total;2021;3,377
Total Nacional;09 Cataluña;De 15 a 29 años;Total;2020;2,767
Total Nacional;09 Cataluña;De 15 a 29 años;Total;2019;4,179
Total Nacional;09 Cataluña;De 15 a 29 años;Total;2018;5,300
Total Nacional;09 Cataluña;De 15 a 29 años;Hombres;2021;5,298
Total Nacional;09 Cataluña;De 15 a 29 años;Hombres;2020;3,793
Total Nacional;09 Cataluña;De 15 a 29 años;Hombres;2019;5,708
Total Nacional;09 Cataluña;De 15 a 29 años;Hombres;2018;7,167
Total Nacional;09 Cataluña;De 15 a 29 años;Mujeres;2021;1,329
Total Nacional;09 Cataluña;De 15 a 29 años;Mujeres;2020;1,677
Total Nacional;09 Cataluña;De 15 a 29 años;Mujeres;2019;2,571
Total Nacional;09 Cataluña;De 15 a 29 años;Mujeres;2018;3,363
Total Nacional;09 Cataluña;De 30 a 39 años;Total;2021;3,709
Total Nacional;09 Cataluña;De 30 a 39 años;Total;2020;2,971
Total Nacional;09 Cataluña;De 30 a 39 años;Total;2019;3,312
Total Nacional;09 Cataluña;De 30 a 39 años;Total;2018;4,837
Total Nacional;09 Cataluña;De 30 a 39 años;Hombres;2021;5,591
Total Nacional;09 Cataluña;De 30 a 39 años;Hombres;2020;5,195
Total Nacional;09 Cataluña;De 30 a 39 años;Hombres;2019;5,300
Total Nacional;09 Cataluña;De 30 a 39 años;Hombres;2018;7,820
Total Nacional;09 Cataluña;De 30 a 39 años;Mujeres;2021;1,812
Total Nacional;09 Cataluña;De 30 a 39 años;Mujeres;2020;0,809
Total Nacional;09 Cataluña;De 30 a 39 años;Mujeres;2019;1,384
Total Nacional;09 Cataluña;De 30 a 39 años;Mujeres;2018;1,944
Total Nacional;09 Cataluña;De 40 a 44 años;Total;2021;2,478
Total Nacional;09 Cataluña;De 40 a 44 años;Total;2020;2,965
Total Nacional;09 Cataluña;De 40 a 44 años;Total;2019;2,754
Total Nacional;09 Cataluña;De 40 a 44 años;Total;2018;3,507
Total Nacional;09 Cataluña;De 40 a 44 años;Hombres;2021;3,954
Total Nacional;09 Cataluña;De 40 a 44 años;Hombres;2020;5,617
Total Nacional;09 Cataluña;De 40 a 44 años;Hombres;2019;5,166
Total Nacional;09 Cataluña;De 40 a 44 años;Hombres;2018;6,632
Total Nacional;09 Cataluña;De 40 a 44 años;Mujeres;2021;0,946
Total Nacional;09 Cataluña;De 40 a 44 años;Mujeres;2020;0,312
Total Nacional;09 Cataluña;De 40 a 44 años;Mujeres;2019;0,308
Total Nacional;09 Cataluña;De 40 a 44 años;Mujeres;2018;0,309
Total Nacional;09 Cataluña;De 45 a 49 años;Total;2021;2,269
Total Nacional;09 Cataluña;De 45 a 49 años;Total;2020;3,301
Total Nacional;09 Cataluña;De 45 a 49 años;Total;2019;3,697
Total Nacional;09 Cataluña;De 45 a 49 años;Total;2018;3,957
Total Nacional;09 Cataluña;De 45 a 49 años;Hombres;2021;3,842
Total Nacional;09 Cataluña;De 45 a 49 años;Hombres;2020;5,913
Total Nacional;09 Cataluña;De 45 a 49 años;Hombres;2019;6,672
Total Nacional;09 Cataluña;De 45 a 49 años;Hombres;2018;6,184
Total Nacional;09 Cataluña;De 45 a 49 años;Mujeres;2021;0,620
Total Nacional;09 Cataluña;De 45 a 49 años;Mujeres;2020;0,635
Total Nacional;09 Cataluña;De 45 a 49 años;Mujeres;2019;0,651
Total Nacional;09 Cataluña;De 45 a 49 años;Mujeres;2018;1,671
Total Nacional;09 Cataluña;De 50 a 54 años;Total;2021;2,711
Total Nacional;09 Cataluña;De 50 a 54 años;Total;2020;3,317
Total Nacional;09 Cataluña;De 50 a 54 años;Total;2019;4,593
Total Nacional;09 Cataluña;De 50 a 54 años;Total;2018;5,021
Total Nacional;09 Cataluña;De 50 a 54 años;Hombres;2021;5,018
Total Nacional;09 Cataluña;De 50 a 54 años;Hombres;2020;4,181
Total Nacional;09 Cataluña;De 50 a 54 años;Hombres;2019;8,105
Total Nacional;09 Cataluña;De 50 a 54 años;Hombres;2018;8,233
Total Nacional;09 Cataluña;De 50 a 54 años;Mujeres;2021;0,343
Total Nacional;09 Cataluña;De 50 a 54 años;Mujeres;2020;2,449
Total Nacional;09 Cataluña;De 50 a 54 años;Mujeres;2019;1,063
Total Nacional;09 Cataluña;De 50 a 54 años;Mujeres;2018;1,797
Total Nacional;09 Cataluña;De 55 a 59 años;Total;2021;4,522
Total Nacional;09 Cataluña;De 55 a 59 años;Total;2020;3,690
Total Nacional;09 Cataluña;De 55 a 59 años;Total;2019;3,179
Total Nacional;09 Cataluña;De 55 a 59 años;Total;2018;5,888
Total Nacional;09 Cataluña;De 55 a 59 años;Hombres;2021;8,759
Total Nacional;09 Cataluña;De 55 a 59 años;Hombres;2020;6,337
Total Nacional;09 Cataluña;De 55 a 59 años;Hombres;2019;5,283
Total Nacional;09 Cataluña;De 55 a 59 años;Hombres;2018;8,743
Total Nacional;09 Cataluña;De 55 a 59 años;Mujeres;2021;0,373
Total Nacional;09 Cataluña;De 55 a 59 años;Mujeres;2020;1,143
Total Nacional;09 Cataluña;De 55 a 59 años;Mujeres;2019;1,166
Total Nacional;09 Cataluña;De 55 a 59 años;Mujeres;2018;3,170
Total Nacional;09 Cataluña;De 60 a 64 años;Total;2021;2,576
Total Nacional;09 Cataluña;De 60 a 64 años;Total;2020;1,539
Total Nacional;09 Cataluña;De 60 a 64 años;Total;2019;2,931
Total Nacional;09 Cataluña;De 60 a 64 años;Total;2018;4,870
Total Nacional;09 Cataluña;De 60 a 64 años;Hombres;2021;4,019
Total Nacional;09 Cataluña;De 60 a 64 años;Hombres;2020;3,212
Total Nacional;09 Cataluña;De 60 a 64 años;Hombres;2019;5,644
Total Nacional;09 Cataluña;De 60 a 64 años;Hombres;2018;8,696
Total Nacional;09 Cataluña;De 60 a 64 años;Mujeres;2021;1,240
Total Nacional;09 Cataluña;De 60 a 64 años;Mujeres;2020;0,000
Total Nacional;09 Cataluña;De 60 a 64 años;Mujeres;2019;0,433
Total Nacional;09 Cataluña;De 60 a 64 años;Mujeres;2018;1,338
Total Nacional;09 Cataluña;De 65 a 69 años;Total;2021;1,772
Total Nacional;09 Cataluña;De 65 a 69 años;Total;2020;3,346
Total Nacional;09 Cataluña;De 65 a 69 años;Total;2019;4,688
Total Nacional;09 Cataluña;De 65 a 69 años;Total;2018;5,473
Total Nacional;09 Cataluña;De 65 a 69 años;Hombres;2021;2,690
Total Nacional;09 Cataluña;De 65 a 69 años;Hombres;2020;5,479
Total Nacional;09 Cataluña;De 65 a 69 años;Hombres;2019;6,090
Total Nacional;09 Cataluña;De 65 a 69 años;Hombres;2018;8,308
Total Nacional;09 Cataluña;De 65 a 69 años;Mujeres;2021;0,956
Total Nacional;09 Cataluña;De 65 a 69 años;Mujeres;2020;1,456
Total Nacional;09 Cataluña;De 65 a 69 años;Mujeres;2019;3,443
Total Nacional;09 Cataluña;De 65 a 69 años;Mujeres;2018;2,954
Total Nacional;09 Cataluña;De 70 a 74 años;Total;2021;5,082
Total Nacional;09 Cataluña;De 70 a 74 años;Total;2020;1,408
Total Nacional;09 Cataluña;De 70 a 74 años;Total;2019;5,368
Total Nacional;09 Cataluña;De 70 a 74 años;Total;2018;5,220
Total Nacional;09 Cataluña;De 70 a 74 años;Hombres;2021;5,568
Total Nacional;09 Cataluña;De 70 a 74 años;Hombres;2020;1,847
Total Nacional;09 Cataluña;De 70 a 74 años;Hombres;2019;9,253
Total Nacional;09 Cataluña;De 70 a 74 años;Hombres;2018;7,590
Total Nacional;09 Cataluña;De 70 a 74 años;Mujeres;2021;4,674
Total Nacional;09 Cataluña;De 70 a 74 años;Mujeres;2020;1,037
Total Nacional;09 Cataluña;De 70 a 74 años;Mujeres;2019;2,085
Total Nacional;09 Cataluña;De 70 a 74 años;Mujeres;2018;3,214
Total Nacional;09 Cataluña;De 75 a 79 años;Total;2021;4,196
Total Nacional;09 Cataluña;De 75 a 79 años;Total;2020;3,574
Total Nacional;09 Cataluña;De 75 a 79 años;Total;2019;8,263
Total Nacional;09 Cataluña;De 75 a 79 años;Total;2018;5,301
Total Nacional;09 Cataluña;De 75 a 79 años;Hombres;2021;4,770
Total Nacional;09 Cataluña;De 75 a 79 años;Hombres;2020;6,476
Total Nacional;09 Cataluña;De 75 a 79 años;Hombres;2019;12,700
Total Nacional;09 Cataluña;De 75 a 79 años;Hombres;2018;9,189
Total Nacional;09 Cataluña;De 75 a 79 años;Mujeres;2021;3,746
Total Nacional;09 Cataluña;De 75 a 79 años;Mujeres;2020;1,280
Total Nacional;09 Cataluña;De 75 a 79 años;Mujeres;2019;4,725
Total Nacional;09 Cataluña;De 75 a 79 años;Mujeres;2018;2,199
Total Nacional;09 Cataluña;De 80 a 84 años;Total;2021;3,525
Total Nacional;09 Cataluña;De 80 a 84 años;Total;2020;5,003
Total Nacional;09 Cataluña;De 80 a 84 años;Total;2019;8,263
Total Nacional;09 Cataluña;De 80 a 84 años;Total;2018;13,680
Total Nacional;09 Cataluña;De 80 a 84 años;Hombres;2021;2,446
Total Nacional;09 Cataluña;De 80 a 84 años;Hombres;2020;8,558
Total Nacional;09 Cataluña;De 80 a 84 años;Hombres;2019;13,149
Total Nacional;09 Cataluña;De 80 a 84 años;Hombres;2018;21,378
Total Nacional;09 Cataluña;De 80 a 84 años;Mujeres;2021;4,280
Total Nacional;09 Cataluña;De 80 a 84 años;Mujeres;2020;2,541
Total Nacional;09 Cataluña;De 80 a 84 años;Mujeres;2019;4,914
Total Nacional;09 Cataluña;De 80 a 84 años;Mujeres;2018;8,434
Total Nacional;09 Cataluña;De 85 a 89 años;Total;2021;7,012
Total Nacional;09 Cataluña;De 85 a 89 años;Total;2020;7,645
Total Nacional;09 Cataluña;De 85 a 89 años;Total;2019;12,076
Total Nacional;09 Cataluña;De 85 a 89 años;Total;2018;10,421
Total Nacional;09 Cataluña;De 85 a 89 años;Hombres;2021;5,291
Total Nacional;09 Cataluña;De 85 a 89 años;Hombres;2020;15,823
Total Nacional;09 Cataluña;De 85 a 89 años;Hombres;2019;21,157
Total Nacional;09 Cataluña;De 85 a 89 años;Hombres;2018;14,556
Total Nacional;09 Cataluña;De 85 a 89 años;Mujeres;2021;7,986
Total Nacional;09 Cataluña;De 85 a 89 años;Mujeres;2020;2,998
Total Nacional;09 Cataluña;De 85 a 89 años;Mujeres;2019;6,957
Total Nacional;09 Cataluña;De 85 a 89 años;Mujeres;2018;8,115
Total Nacional;09 Cataluña;De 90 a 94 años;Total;2021;2,729
Total Nacional;09 Cataluña;De 90 a 94 años;Total;2020;5,600
Total Nacional;09 Cataluña;De 90 a 94 años;Total;2019;7,124
Total Nacional;09 Cataluña;De 90 a 94 años;Total;2018;4,432
Total Nacional;09 Cataluña;De 90 a 94 años;Hombres;2021;4,544
Total Nacional;09 Cataluña;De 90 a 94 años;Hombres;2020;13,864
Total Nacional;09 Cataluña;De 90 a 94 años;Hombres;2019;18,958
Total Nacional;09 Cataluña;De 90 a 94 años;Hombres;2018;9,975
Total Nacional;09 Cataluña;De 90 a 94 años;Mujeres;2021;1,950
Total Nacional;09 Cataluña;De 90 a 94 años;Mujeres;2020;2,009
Total Nacional;09 Cataluña;De 90 a 94 años;Mujeres;2019;2,037
Total Nacional;09 Cataluña;De 90 a 94 años;Mujeres;2018;2,099
Total Nacional;09 Cataluña;95 y más años;Total;2021;0,000
Total Nacional;09 Cataluña;95 y más años;Total;2020;4,846
Total Nacional;09 Cataluña;95 y más años;Total;2019;4,948
Total Nacional;09 Cataluña;95 y más años;Total;2018;0,000
Total Nacional;09 Cataluña;95 y más años;Hombres;2021;0,000
Total Nacional;09 Cataluña;95 y más años;Hombres;2020;0,000
Total Nacional;09 Cataluña;95 y más años;Hombres;2019;21,563
Total Nacional;09 Cataluña;95 y más años;Hombres;2018;0,000
Total Nacional;09 Cataluña;95 y más años;Mujeres;2021;0,000
Total Nacional;09 Cataluña;95 y más años;Mujeres;2020;6,329
Total Nacional;09 Cataluña;95 y más años;Mujeres;2019;0,000
Total Nacional;09 Cataluña;95 y más años;Mujeres;2018;0,000
Total Nacional;10 Comunitat Valenciana;Todas las edades;Total;2021;3,014
Total Nacional;10 Comunitat Valenciana;Todas las edades;Total;2020;2,799
Total Nacional;10 Comunitat Valenciana;Todas las edades;Total;2019;4,180
Total Nacional;10 Comunitat Valenciana;Todas las edades;Total;2018;3,941
Total Nacional;10 Comunitat Valenciana;Todas las edades;Hombres;2021;5,076
Total Nacional;10 Comunitat Valenciana;Todas las edades;Hombres;2020;4,677
Total Nacional;10 Comunitat Valenciana;Todas las edades;Hombres;2019;6,821
Total Nacional;10 Comunitat Valenciana;Todas las edades;Hombres;2018;6,397
Total Nacional;10 Comunitat Valenciana;Todas las edades;Mujeres;2021;1,010
Total Nacional;10 Comunitat Valenciana;Todas las edades;Mujeres;2020;0,978
Total Nacional;10 Comunitat Valenciana;Todas las edades;Mujeres;2019;1,616
Total Nacional;10 Comunitat Valenciana;Todas las edades;Mujeres;2018;1,554
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Total;2021;2,803
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Total;2020;0,000
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Total;2019;2,679
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Total;2018;2,619
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Hombres;2021;5,385
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Hombres;2020;0,000
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Hombres;2019;5,166
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Hombres;2018;5,082
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Mujeres;2021;0,000
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Mujeres;2020;0,000
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Mujeres;2019;0,000
Total Nacional;10 Comunitat Valenciana;Menores de 1 año;Mujeres;2018;0,000
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Total;2021;0,294
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Total;2020;0,000
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Total;2019;0,429
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Total;2018;0,000
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Hombres;2021;0,285
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Hombres;2020;0,000
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Hombres;2019;0,277
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Hombres;2018;0,000
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Mujeres;2021;0,304
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Mujeres;2020;0,000
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Mujeres;2019;0,591
Total Nacional;10 Comunitat Valenciana;De 1 a 14 años;Mujeres;2018;0,000
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Total;2021;3,702
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Total;2020;2,721
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Total;2019;4,753
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Total;2018;5,130
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Hombres;2021;4,976
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Hombres;2020;3,028
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Hombres;2019;7,726
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Hombres;2018;7,920
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Mujeres;2021;2,360
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Mujeres;2020;2,397
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Mujeres;2019;1,626
Total Nacional;10 Comunitat Valenciana;De 15 a 29 años;Mujeres;2018;2,211
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Total;2021;2,740
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Total;2020;2,247
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Total;2019;1,719
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Total;2018;3,342
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Hombres;2021;5,458
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Hombres;2020;4,498
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Hombres;2019;3,439
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Hombres;2018;5,760
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Mujeres;2021;0,000
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Mujeres;2020;0,000
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Mujeres;2019;0,000
Total Nacional;10 Comunitat Valenciana;De 30 a 39 años;Mujeres;2018;0,914
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Total;2021;1,901
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Total;2020;3,780
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Total;2019;5,379
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Total;2018;4,219
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Hombres;2021;3,273
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Hombres;2020;6,068
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Hombres;2019;10,122
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Hombres;2018;6,432
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Mujeres;2021;0,483
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Mujeres;2020;1,435
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Mujeres;2019;0,476
Total Nacional;10 Comunitat Valenciana;De 40 a 44 años;Mujeres;2018;1,914
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Total;2021;2,102
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Total;2020;3,110
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Total;2019;5,843
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Total;2018;5,454
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Hombres;2021;3,205
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Hombres;2020;5,181
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Hombres;2019;9,566
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Hombres;2018;8,267
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Mujeres;2021;0,954
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Mujeres;2020;0,972
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Mujeres;2019;1,983
Total Nacional;10 Comunitat Valenciana;De 45 a 49 años;Mujeres;2018;2,528
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Total;2021;4,231
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Total;2020;3,045
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Total;2019;4,880
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Total;2018;4,435
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Hombres;2021;7,417
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Hombres;2020;5,056
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Hombres;2019;7,171
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Hombres;2018;7,284
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Mujeres;2021;1,002
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Mujeres;2020;1,019
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Mujeres;2019;2,576
Total Nacional;10 Comunitat Valenciana;De 50 a 54 años;Mujeres;2018;1,570
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Total;2021;6,473
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Total;2020;2,491
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Total;2019;3,403
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Total;2018;4,957
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Hombres;2021;10,909
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Hombres;2020;4,490
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Hombres;2019;6,906
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Hombres;2018;9,481
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Mujeres;2021;2,134
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Mujeres;2020;0,546
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Mujeres;2019;0,000
Total Nacional;10 Comunitat Valenciana;De 55 a 59 años;Mujeres;2018;0,574
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Total;2021;3,636
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Total;2020;2,832
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Total;2019;2,944
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Total;2018;4,097
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Hombres;2021;7,516
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Hombres;2020;5,201
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Hombres;2019;6,084
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Hombres;2018;7,067
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Mujeres;2021;0,000
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Mujeres;2020;0,610
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Mujeres;2019;0,000
Total Nacional;10 Comunitat Valenciana;De 60 a 64 años;Mujeres;2018;1,321
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Total;2021;2,891
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Total;2020;3,704
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Total;2019;5,648
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Total;2018;3,029
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Hombres;2021;4,565
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Hombres;2020;7,008
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Hombres;2019;9,517
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Hombres;2018;6,392
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Mujeres;2021;1,377
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Mujeres;2020;0,706
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Mujeres;2019;2,151
Total Nacional;10 Comunitat Valenciana;De 65 a 69 años;Mujeres;2018;0,000
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Total;2021;1,619
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Total;2020;6,110
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Total;2019;3,705
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Total;2018;3,797
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Hombres;2021;3,497
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Hombres;2020;11,440
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Hombres;2019;3,552
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Hombres;2018;5,451
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Mujeres;2021;0,000
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Mujeres;2020;1,517
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Mujeres;2019;3,837
Total Nacional;10 Comunitat Valenciana;De 70 a 74 años;Mujeres;2018;2,363
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Total;2021;4,069
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Total;2020;4,623
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Total;2019;9,542
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Total;2018;6,767
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Hombres;2021;6,830
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Hombres;2020;5,742
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Hombres;2019;16,586
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Hombres;2018;10,089
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Mujeres;2021;1,839
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Mujeres;2020;3,718
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Mujeres;2019;3,837
Total Nacional;10 Comunitat Valenciana;De 75 a 79 años;Mujeres;2018;4,080
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Total;2021;5,718
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Total;2020;4,325
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Total;2019;11,578
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Total;2018;6,283
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Hombres;2021;10,319
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Hombres;2020;10,389
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Hombres;2019;22,592
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Hombres;2018;10,077
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Mujeres;2021;2,446
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Mujeres;2020;0,000
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Mujeres;2019;3,720
Total Nacional;10 Comunitat Valenciana;De 80 a 84 años;Mujeres;2018;3,584
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Total;2021;4,200
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Total;2020;7,257
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Total;2019;9,482
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Total;2018;8,705
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Hombres;2021;11,326
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Hombres;2020;19,400
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Hombres;2019;8,508
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Hombres;2018;20,589
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Mujeres;2021;0,000
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Mujeres;2020;0,000
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Mujeres;2019;10,057
Total Nacional;10 Comunitat Valenciana;De 85 a 89 años;Mujeres;2018;1,727
Total Nacional;10 Comunitat Valenciana;De 90 a 94 años;Total;2021;4,874
Total Nacional;10 Comunitat Valenciana;De 90 a 94 años;Total;2020;0,000
Total Nacional;10 Comunitat Valenciana;De 90 a 94 años;Total;2019;10,284
Total Nacional;10 Comunitat Valenciana;De 90 a 94 años;Total;2018;2,702
Total Nacional;10 Comunitat Valenciana;De 90 a 94 años;Hombres;2021;7,856
Total Nacional;10 Comunitat Valenciana;De 90 a 94 años;Hombres;2020;0,000
Total Nacional;10 Comunitat Valenciana;De 90 a 94 años;Hombres;2019;16,073
